Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                                                                                                                                                                                | Type
i  | cpupower                                   | Tools to determine and set CPU Power related Settings                                                                                                                                                                                  | package
i  | cpupower-bash-completion                   | Bash completion for cpupower                                                                                                                                                                                                           | package
i  | cracklib                                   | Library to crack passwords using dictionaries                                                                                                                                                                                          | package
i  | cracklib-dict-full                         | A Password-Checking Library                                                                                                                                                                                                            | package
i  | cron                                       | Auxiliary package                                                                                                                                                                                                                      | package
i  | cronie                                     | Cron Daemon                                                                                                                                                                                                                            | package
i  | crypto-policies                            | System-wide crypto policies                                                                                                                                                                                                            | package
i  | crypto-policies-scripts                    | Tool to switch between crypto policies                                                                                                                                                                                                 | package
i  | cryptsetup                                 | Setup program for dm-crypt Based Encrypted Block Devices                                                                                                                                                                               | package
i  | cryptsetup-doc                             | Cryptsetup Documentation                                                                                                                                                                                                               | package
i  | cryptsetup-lang                            | Translations for package cryptsetup                                                                                                                                                                                                    | package
i  | cups-config                                | CUPS library configuration files                                                                                                                                                                                                       | package
i+ | curl                                       | A Tool for Transferring Data from URLs                                                                                                                                                                                                 | package
i  | dbus-1                                     | D-Bus Message Bus System                                                                                                                                                                                                               | package
i  | dbus-1-common                              | D-BUS message bus configuration                                                                                                                                                                                                        | package
i  | dbus-1-tools                               | Tools that go along with dbus                                                                                                                                                                                                          | package
i  | dbus-1-x11                                 | D-Bus Message Bus System                                                                                                                                                                                                               | package
i  | dbus-broker                                | XDG message bus implementation                                                                                                                                                                                                         | package
i  | dbus-broker-block-restart                  | Restart behavior configuration for dbus-broker - Block restarting                                                                                                                                                                      | package
i  | dconf                                      | Key-based configuration system                                                                                                                                                                                                         | package
i  | debianutils                                | Miscellaneous utilities specific to Debian                                                                                                                                                                                             | package
i  | debuginfod-client                          | Command line client for build-id HTTP ELF/DWARF server                                                                                                                                                                                 | package
i  | debuginfod-profile                         | Profile files for build-id HTTP ELF/DWARF server                                                                                                                                                                                       | package
i  | deltarpm                                   | Tools to Create and Apply deltarpms                                                                                                                                                                                                    | package
i  | desktop-translations                       | Desktop Files Translations                                                                                                                                                                                                             | package
i  | device-mapper                              | Device Mapper Tools                                                                                                                                                                                                                    | package
i  | diffutils                                  | GNU diff Utilities                                                                                                                                                                                                                     | package
i  | diffutils-lang                             | Translations for package diffutils                                                                                                                                                                                                     | package
i  | dirmngr                                    | Keyserver, CRL, and OCSP access for GnuPG                                                                                                                                                                                              | package
i  | distribution-logos-openSUSE-Leap           | Logos for openSUSE Leap                                                                                                                                                                                                                | package
i  | dmidecode                                  | DMI table decoder                                                                                                                                                                                                                      | package
i  | dmraid                                     | A Device-Mapper Software RAID Support Tool                                                                                                                                                                                             | package
i+ | dnsmasq                                    | DNS Forwarder and DHCP Server                                                                                                                                                                                                          | package
i  | dos2unix                                   | Text converters to and from DOS/MAC to UNIX                                                                                                                                                                                            | package
i+ | dosfstools                                 | Utilities for Making and Checking MS-DOS FAT File Systems on Linux                                                                                                                                                                     | package
i+ | dracut                                     | Event driven initramfs infrastructure                                                                                                                                                                                                  | package
i+ | e2fsprogs                                  | Utilities for the Second Extended File System                                                                                                                                                                                          | package
i  | edict-eucjp                                | The Japanese Dictionary from the EDRDG project (EDICT-EUCJP format)                                                                                                                                                                    | package
i  | edict2                                     | The Japanese Dictionary from the EDRDG project (edict2 format)                                                                                                                                                                         | package
i  | efibootmgr                                 | EFI Boot Manager                                                                                                                                                                                                                       | package
i  | elfutils                                   | Higher-level library to access ELF files                                                                                                                                                                                               | package
i  | elfutils-lang                              | Translations for package elfutils                                                                                                                                                                                                      | package
i+ | enhanced_base                              | Enhanced Base System                                                                                                                                                                                                                   | pattern
i  | envsubst                                   | Environment substitution helper binary                                                                                                                                                                                                 | package
i  | ethtool                                    | Utility for examining and tuning Ethernet-based network interfaces                                                                                                                                                                     | package
i  | ethtool-bash-completion                    | Bash completion for ethtool                                                                                                                                                                                                            | package
i  | file                                       | A Tool to Determine File Types                                                                                                                                                                                                         | package
i  | file-magic                                 | Database for libmagic to help identify files                                                                                                                                                                                           | package
i  | filesystem                                 | Basic Directory Layout                                                                                                                                                                                                                 | package
i  | fillup                                     | Tool for Merging Config Files                                                                                                                                                                                                          | package
i  | findutils                                  | The GNU versions of find utilities (find and xargs)                                                                                                                                                                                    | package
i  | findutils-lang                             | Translations for package findutils                                                                                                                                                                                                     | package
i+ | firewalld                                  | A firewall daemon with D-Bus interface providing a dynamic firewall                                                                                                                                                                    | package
i  | firewalld-bash-completion                  | Bash Completion for firewalld                                                                                                                                                                                                          | package
i  | firewalld-lang                             | Translations for package firewalld                                                                                                                                                                                                     | package
i  | fontconfig                                 | Library for Font Configuration                                                                                                                                                                                                         | package
i+ | fuse                                       | Reference implementation of the "Filesystem in Userspace"                                                                                                                                                                              | package
i  | fuse3                                      | Reference implementation of the "Filesystem in Userspace"                                                                                                                                                                              | package
i  | gawk                                       | Domain-specific language for text processing                                                                                                                                                                                           | package
i  | gcr-lang                                   | Translations for package gcr                                                                                                                                                                                                           | package
i  | gcr-ssh-agent                              | SSH agent binary for gcr                                                                                                                                                                                                               | package
i  | gcr-viewer                                 | Viewer for Crypto Files                                                                                                                                                                                                                | package
i  | gdbm-lang                                  | Translations for package gdbm                                                                                                                                                                                                          | package
i  | gdk-pixbuf-lang                            | Translations for package gdk-pixbuf                                                                                                                                                                                                    | package
i  | gdk-pixbuf-loader-rsvg                     | A gdk-pixbuf loader for SVG using librsvg                                                                                                                                                                                              | package
i  | gdk-pixbuf-query-loaders                   | Utility to create a cache of gdk-pixbuf loaders                                                                                                                                                                                        | package
i  | gdk-pixbuf-thumbnailer                     | System helper creating thumbnails                                                                                                                                                                                                      | package
i  | gettext-runtime                            | Tools for Native Language Support (NLS)                                                                                                                                                                                                | package
i  | ghostscript                                | The Ghostscript interpreter for PostScript and PDF                                                                                                                                                                                     | package
i  | ghostscript-x11                            | X11 library for Ghostscript                                                                                                                                                                                                            | package
i  | gio-branding-openSUSE                      | openSUSE definitions of default settings and applications                                                                                                                                                                              | package
i  | girepository-1_0                           | Base GObject Introspection Bindings                                                                                                                                                                                                    | package
i  | glib-networking                            | Network-related GIO modules for glib                                                                                                                                                                                                   | package
i  | glib-networking-lang                       | Translations for package glib-networking                                                                                                                                                                                               | package
i  | glib2-lang                                 | Translations for package glib2                                                                                                                                                                                                         | package
i  | glib2-tools                                | Tools from glib2, a general-purpose utility library                                                                                                                                                                                    | package
i  | glibc                                      | Standard Shared Libraries (from the GNU C Library)                                                                                                                                                                                     | package
i  | glibc-extra                                | Extra binaries from GNU C Library                                                                                                                                                                                                      | package
i  | glibc-gconv-modules-extra                  | Non-essential gconv modules                                                                                                                                                                                                            | package
i+ | glibc-i18ndata                             | Database Sources for 'locale'                                                                                                                                                                                                          | package
i  | glibc-lang                                 | Translations for package glibc                                                                                                                                                                                                         | package
i+ | glibc-locale                               | Locale Data for Localized Programs                                                                                                                                                                                                     | package
i  | glibc-locale-base                          | en_US Locale Data for Localized Programs                                                                                                                                                                                               | package
i  | google-noto-sans-jp-fonts                  | Noto Sans Japanese Font                                                                                                                                                                                                                | package
i  | google-noto-serif-jp-fonts                 | Noto Serif Japanese Font                                                                                                                                                                                                               | package
i  | gpart                                      | Tool That Can Guess a Lost Partition Table                                                                                                                                                                                             | package
i  | gpg2                                       | File encryption, decryption, signature creation and verification utility                                                                                                                                                               | package
i  | gpg2-lang                                  | Translations for package gpg2                                                                                                                                                                                                          | package
i  | gpm                                        | Console Mouse Support                                                                                                                                                                                                                  | package
i  | gptfdisk                                   | GPT partitioning and MBR repair software                                                                                                                                                                                               | package
i  | grep                                       | Print lines matching a pattern                                                                                                                                                                                                         | package
i  | grep-lang                                  | Translations for package grep                                                                                                                                                                                                          | package
i  | groff                                      | GNU troff Document Formatting System                                                                                                                                                                                                   | package
i  | groff-full                                 | GNU troff Document Formatting System                                                                                                                                                                                                   | package
i  | grub2-branding-openSUSE                    | openSUSE Leap 16.0 branding for GRUB2                                                                                                                                                                                                  | package
i  | grub2-common                               | Utilies to manage grub                                                                                                                                                                                                                 | package
i  | grub2-snapper-plugin                       | Grub2's snapper plugin                                                                                                                                                                                                                 | package
i  | grub2-systemd-sleep-plugin                 | Grub2's systemd-sleep plugin                                                                                                                                                                                                           | package
i+ | grub2-x86_64-efi                           | Bootloader with support for Linux, Multiboot and more                                                                                                                                                                                  | package
i  | gsettings-backend-dconf                    | GSettings integration of the dconf key-based configuration system                                                                                                                                                                      | package
i  | gsettings-desktop-schemas                  | Shared GSettings Schemas for the Desktop                                                                                                                                                                                               | package
