enabled media_type          architecture        search_url                                                                                                                                                      exclude_url                                                 target_url                                                                                                                                                      time_stamp                                                  file_size           check_date                                                  status              reason                                                      mime                                                        contents                                                                                                                        
o       netinst             amd64               https://cdimage.debian.org/cdimage/weekly-builds/:_ARCH_:/iso-cd/debian-testing-:_ARCH_:-netinst.iso                                                            -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       dvd                 amd64               https://cdimage.debian.org/cdimage/weekly-builds/:_ARCH_:/iso-dvd/debian-testing-:_ARCH_:-DVD-1.iso                                                             -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       live                amd64               https://cdimage.debian.org/cdimage/weekly-live-builds/:_ARCH_:/iso-hybrid/debian-live-testing-:_ARCH_:-[A-Za-z]+.iso                                            -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       mini.iso            amd64               https://archive.ubuntu.com/ubuntu/dists/trusty-updates/main/installer-:_ARCH_:/current/images/netboot/mini.iso                                                  -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       mini.iso            amd64               https://archive.ubuntu.com/ubuntu/dists/xenial-updates/main/installer-:_ARCH_:/current/images/netboot/mini.iso                                                  -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       mini.iso            amd64               https://archive.ubuntu.com/ubuntu/dists/bionic-updates/main/installer-:_ARCH_:/current/images/netboot/mini.iso                                                  -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       mini.iso            amd64               https://archive.ubuntu.com/ubuntu/dists/focal-updates/main/installer-:_ARCH_:/current/legacy-images/netboot/mini.iso                                            -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
-       dvd                 amd64               https://old-releases.ubuntu.com/releases/[0-9]+.[0-9]+/ubuntu-[0-9.]+-((live-|)server|desktop)-:_ARCH_:.iso                                                     (4-13\.[0-9.]+),14.10,16.10,18.10,20.10,22.10               -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       dvd                 amd64               https://releases.ubuntu.com/[0-9]+.[0-9]+/ubuntu-[0-9.]+-((live-|)server|desktop)-:_ARCH_:.iso                                                                  (4-13\.[0-9.]+),14.10,16.10,18.10,20.10,22.10               -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       dvd                 amd64               https://cdimage.ubuntu.com/ubuntu-server/[a-z]+/daily-live/current/[A-Za-z]+-live-server-:_ARCH_:.iso                                                           releases,noble,resolute                                     -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       dvd                 amd64               https://cdimage.ubuntu.com/ubuntu/[a-z]+/daily-live/current/[A-Za-z]+-desktop-:_ARCH_:.iso                                                                      releases,noble,resolute                                     -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst,dvd         x86_64              https://download.fedoraproject.org/pub/fedora/linux/releases/4[0-9]+/Server/:_ARCH_:/iso/Fedora-Server-(netinst|dvd)-:_ARCH_:-[0-9]+-[0-9.]+.iso                40-42                                                       -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst,dvd         x86_64              https://mirror.stream.centos.org/[0-9]+-stream/BaseOS/:_ARCH_:/iso/CentOS-Stream-[0-9]+-latest-:_ARCH_:-(boot|dvd1).iso                                         -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst,dvd         x86_64              https://repo.almalinux.org/almalinux/[0-9]+/isos/:_ARCH_:/AlmaLinux-[0-9]+-latest-:_ARCH_:-(boot|dvd).iso                                                       -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       live                x86_64              https://repo.almalinux.org/almalinux/[0-9]+/live/:_ARCH_:/AlmaLinux-[0-9]+-latest-:_ARCH_:-Live-[A-Za-z]+.iso                                                   -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst,dvd,        x86_64              https://download.rockylinux.org/pub/rocky/[0-9]+/isos/:_ARCH_:/Rocky-[0-9]+-latest-:_ARCH_:-(boot|dvd).iso                                                      -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst,dvd         x86_64              https://repo.dist.miraclelinux.net/miraclelinux/isos/[0-9.]+-released/:_ARCH_:/MIRACLELINUX-[0-9.]+-rtm(|-minimal)-:_ARCH_:.iso                                 -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst,dvd         x86_64              https://download.opensuse.org/distribution/leap/[0-9.]+/iso/openSUSE-Leap-[0-9.]+-(NET|DVD)-:_ARCH_:-Media.iso                                                  (15\.[0-5]),16.*,4[0-9]+.*                                  -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst,dvd         x86_64              https://download.opensuse.org/distribution/leap/[0-9.]+/offline/Leap-[0-9.]+-(on|off)line-installer-:_ARCH_:.install.iso                                        15.*,4[0-9]+.*                                              -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       netinst             x86_64              https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-NET-:_ARCH_:-Current.iso                                                                       -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       dvd                 x86_64              https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-DVD-:_ARCH_:-Current.iso                                                                       -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
o       tools               x86_64              https://www.memtest.org/download/v8.10/mt86plus_8.10_x86_64.grub.iso.zip                                                                                        -                                                           -                                                                                                                                                               -                                                           -                   -                                                           -                   -                                                           -                                                           -                                                                                                                               
